GATEWAY_NAME	GATEWAY_DESC	ACCOUNT	PLAYERNAME	MONEY	BINDMONEY	GENRE	DETAILTYPE	PARTICULARTYPE	LEVEL	BIND	NUM	LIMITTIME	ITEMNAME	DESC	REASON
大区号	区服	帐号	角色名	银两	绑定银两	物品大类	物品子类	物品小类	物品等级	绑定	物品数量	限时(分)	物品名称	问题描述	申请补偿原因
1	1区巴陵县	ch191022	鱼·掌	150000											
1	1区巴陵县	kaoysy001	坏坏的坏女人	200000											
1	1区巴陵县	dfachl004	八星报喜	285900											
1	1区稻香村	cai5582882	【湘楚】夜之芝麻	500000											
1	1区稻香村	wenjay1984	这不是我要的	20000											
1	1区稻香村	zaphier	【烛照】	1000000											
1	1区点苍山	zpx2007003	【毛线·签签】	3800000											
1	1区点苍山	pinga009	小酒哥	1000000											
1	1区点苍山	water333333333	海鱼网			18	1	78	1				宝箱1个		
1	1区翡翠湖	sovrandbhw	枪神之破天	500000											
1	1区风陵渡	wzhllqwzm1357	倒枪剑棒斧掌拳	100000											
1	1区风陵渡	86219703	风还是风			18	1	78	1				宝箱1个		
1	1区风陵渡	gongce1	军魂横行霸道	100000											
1	1区江津村	1003965781	摇尾猪	300000											
1	1区江津村	ywcg8	【麒麟】流氓刚少			18	1	71	3		4		4个强效白驹丸		
1	1区九老峰	2798898	雪龙·锤震午门			18	1	71	1		10		10个白驹丸		
1	1区九老峰	29800610	鬼舞【十七】	4000											
1	1区九老峰	aimozi0007	太马虎了	100000											
1	1区九老峰	hj510211	【娇娇脆弱】	200000											
1	1区龙门镇	goodluck510	神降雪舞姬	100000											
1	1区龙门镇	jhb0803	小胖妞她爸	400000											
1	1区龙门镇	as4671623	霜风剑影	11100											
1	1区龙门镇	jy883966	【啸傲】玄虚			18	1	1	9	1			1个9级玄晶（绑定）		
1	1区龙泉村	46659651	幻影师傅	200000											
1	1区龙泉村	cxtz2008	衰神也是神	100000											
1	1区龙泉村	lendy3344888	清·茶	600000											
1	1区龙泉村	ljsjl_1314	滴水欲穿	400000											
1	1区龙泉村	xiongdapao05	枪神霸天下	100000											
1	1区青螺岛	ksyxt0715042	瓏戰之魄	60000											
1	1区响水洞	huanghuajun1	稻香村【保长】	1000000											
1	1区响水洞	honk01	同心小剑		500000										
1	1区响水洞	chqinaab	榕城虎将		500000										
1	1区响水洞 	kszz0477117 	壟嘯在天			18	1	1	5		2		2个5玄		
1	1区永乐镇	austinh	一箭杀毒	100000											
1	1区永乐镇	hanpeng7432	冥界使者	1000000											
1	1区永乐镇	jszhufeng88	九块九	200000											
1	1区永乐镇	tuweijieku	龙吟·小斌	1500000											
1	1区永乐镇	wd28854361	【封嗜】小妞	20000											
1	1区永乐镇	yoyobaby0603	【幻界】小蛮妖	500000											
